,input,filtered,denoised_f,denoised_r,merged,nonchim
B10,75079,62730,62251,62486,61591,60213
B11,61322,50202,49619,49770,48947,48494
B12,32428,25844,25646,25735,25038,24830
B9,74740,62472,61907,62150,61131,60483
C1,75250,59507,58833,59056,57795,56300
C10,25193,14233,14077,14145,13938,13867
C11,21959,10402,10232,10344,10159,10149
C12,63923,55988,55508,55618,54479,53537
C2,64231,49788,49339,49472,48774,48172
C3,36019,22466,22171,22287,21959,21577
C4,67581,50579,50148,50427,49506,48831
C5,59545,44543,44070,44259,43125,42374
C6,49900,35171,34644,34960,34201,33647
C7,37258,24323,24045,24234,23800,23706
C8,36123,25088,24857,24918,24664,24152
C9,50939,32226,31841,32086,31734,31606
D1,18603,9009,8849,8953,8680,8680
D10,77573,66903,66470,66584,65552,63283
D11,53451,45492,44954,45142,43801,42320
D12,57081,38304,38028,38104,37601,37395
D2,60075,41554,41267,41360,40869,40664
D3,34264,21709,21476,21550,21236,20962
D4,39256,26158,25905,26040,25687,25599
D5,37385,21726,21583,21619,21350,21241
D6,35981,21252,21135,21159,20820,20550
D7,18497,8729,8665,8690,8606,8572
D8,21768,14128,13937,14070,13810,13810
D9,68791,49745,49545,49574,49072,48756
E1,64471,57382,56979,57105,56230,53172
E10,58808,44890,44227,44643,43552,43475
E11,40700,28160,27903,28022,27281,27074
E2,53058,42454,41910,42153,41337,40612
E3,108221,88128,87499,87708,86145,84324
E4,87216,69627,68957,69037,68187,67753
E5,65256,54817,54317,54510,53681,52827
E6,48640,40384,39965,40189,39630,38941
E7,55922,46650,46238,46355,45878,45696
E8,12017,9951,9840,9891,9807,9775
E9,46261,34819,34479,34609,34125,33920
F1,56330,42310,42002,42094,40846,40143
F10,3885,2789,2719,2753,2711,2711
F11,2984,2399,2330,2382,2274,2274
F12,46409,34907,34674,34734,34299,34115
F2,45231,35195,34884,34985,34134,33800
F3,36328,24105,23817,23869,23132,23000
F4,26838,15852,15627,15775,15239,15166
F5,19351,10711,10523,10614,10348,10348
F6,14633,7888,7796,7823,7625,7625
F7,21983,7917,7672,7848,7546,7509
F8,13078,8878,8745,8774,8605,8557
F9,22212,13354,13101,13261,12937,12914
G1,6946,5566,5481,5509,5379,5334
G2,3550,2450,2406,2435,2371,2371
