,sample,input,filtered,denoised_f,denoised_r,merged,nonchim
1,CS7,74740,62472,61907,62150,61131,60483
2,CS8,75079,62730,62251,62486,61591,60213
3,CS9,61322,50202,49619,49770,48947,48494
4,CS10,32428,25844,25646,25735,25038,24830
5,CS11,75250,59507,58833,59056,57795,56300
6,CS12,64231,49788,49339,49472,48774,48172
7,RS8,36019,22466,22171,22287,21959,21577
8,RS9,67581,50579,50148,50427,49506,48831
9,RS10,59545,44543,44070,44259,43125,42374
10,RS11,49900,35171,34644,34960,34201,33647
11,RS12,37258,24323,24045,24234,23800,23706
12,RS13,36123,25088,24857,24918,24664,24152
13,RS14,50939,32226,31841,32086,31734,31606
14,PS7,25193,14233,14077,14145,13938,13867
15,PS8,21959,10402,10232,10344,10159,10149
16,PS9,63923,55988,55508,55618,54479,53537
17,PS10,18603,9009,8849,8953,8680,8680
18,PS11,60075,41554,41267,41360,40869,40664
19,PS12,34264,21709,21476,21550,21236,20962
20,AS8,39256,26158,25905,26040,25687,25599
21,AS9,37385,21726,21583,21619,21350,21241
22,AS10,35981,21252,21135,21159,20820,20550
23,AS11,18497,8729,8665,8690,8606,8572
24,AS12,21768,14128,13937,14070,13810,13810
25,AS13,68791,49745,49545,49574,49072,48756
26,CA7,77573,66903,66470,66584,65552,63283
27,CA8,53451,45492,44954,45142,43801,42320
28,CA9,57081,38304,38028,38104,37601,37395
29,CA10,64471,57382,56979,57105,56230,53172
30,CA11,53058,42454,41910,42153,41337,40612
31,CA12,108221,88128,87499,87708,86145,84324
32,RA7,87216,69627,68957,69037,68187,67753
33,RA8,65256,54817,54317,54510,53681,52827
34,RA9,48640,40384,39965,40189,39630,38941
35,RA10,55922,46650,46238,46355,45878,45696
36,RA11,12017,9951,9840,9891,9807,9775
37,RA12,46261,34819,34479,34609,34125,33920
38,PA7,58808,44890,44227,44643,43552,43475
39,PA8,40700,28160,27903,28022,27281,27074
40,PA10,56330,42310,42002,42094,40846,40143
41,PA11,45231,35195,34884,34985,34134,33800
42,PA12,36328,24105,23817,23869,23132,23000
43,AA2,26838,15852,15627,15775,15239,15166
44,AA3,19351,10711,10523,10614,10348,10348
45,AA9,14633,7888,7796,7823,7625,7625
46,AA10,21983,7917,7672,7848,7546,7509
47,AA11,13078,8878,8745,8774,8605,8557
48,AA12,22212,13354,13101,13261,12937,12914
49,BLANK1,3885,2789,2719,2753,2711,2711
50,BLANK2,2984,2399,2330,2382,2274,2274
51,BLANK3,46409,34907,34674,34734,34299,34115
52,BLANK4,6946,5566,5481,5509,5379,5334
53,BLANK5,3550,2450,2406,2435,2371,2371
