lane,ASV1,ASV3,ASV7,ASV70,sum,sample,gnoto,symstate,treatment,is.neg
B10,1279,644,325,0,2248,CS8,control,sym,CS,FALSE
B11,622,316,159,0,1097,CS9,control,sym,CS,FALSE
B12,20,0,0,0,20,CS10,control,sym,CS,FALSE
B9,1093,585,232,35,1945,CS7,control,sym,CS,FALSE
C1,608,354,175,0,1137,CS11,control,sym,CS,FALSE
C10,2367,1062,449,0,3878,PS7,plus2ab,sym,PS,FALSE
C11,1692,874,497,0,3063,PS8,plus2ab,sym,PS,FALSE
C12,1632,836,408,0,2876,PS9,plus2ab,sym,PS,FALSE
C2,1240,639,257,0,2136,CS12,control,sym,CS,FALSE
C3,27,0,0,0,27,RS8,recovery,sym,RS,FALSE
C4,66,21,34,0,121,RS9,recovery,sym,RS,FALSE
C5,11,0,0,0,11,RS10,recovery,sym,RS,FALSE
C6,16,0,0,0,16,RS11,recovery,sym,RS,FALSE
C7,427,231,114,0,772,RS12,recovery,sym,RS,FALSE
C8,41,17,0,0,58,RS13,recovery,sym,RS,FALSE
C9,36,31,0,0,67,RS14,recovery,sym,RS,FALSE
D1,1295,758,530,0,2583,PS10,plus2ab,sym,PS,FALSE
D10,1923,974,471,67,3435,CA7,control,apo,CA,FALSE
D11,266,151,68,0,485,CA8,control,apo,CA,FALSE
D12,2542,1351,576,0,4469,CA9,control,apo,CA,FALSE
D2,2547,1322,555,102,4526,PS11,plus2ab,sym,PS,FALSE
D3,1784,929,511,0,3224,PS12,plus2ab,sym,PS,FALSE
D4,2101,1034,536,70,3741,AS8,plus0ab,sym,AS,FALSE
D5,2444,1219,589,0,4252,AS9,plus0ab,sym,AS,FALSE
D6,2435,1302,650,94,4481,AS10,plus0ab,sym,AS,FALSE
D7,2061,1025,356,0,3442,AS11,plus0ab,sym,AS,FALSE
D8,2363,1401,598,80,4442,AS12,plus0ab,sym,AS,FALSE
D9,2702,1606,729,84,5121,AS13,plus0ab,sym,AS,FALSE
E1,16,10,6,0,32,CA10,control,apo,CA,FALSE
E10,2,0,0,0,2,PA7,plus2ab,apo,PA,FALSE
E11,7,0,0,0,7,PA8,plus2ab,apo,PA,FALSE
E2,1423,686,344,0,2453,CA11,control,apo,CA,FALSE
E3,1900,976,400,0,3276,CA12,control,apo,CA,FALSE
E4,5,0,0,0,5,RA7,recovery,apo,RA,FALSE
E5,0,0,6,0,6,RA8,recovery,apo,RA,FALSE
E6,10,0,0,0,10,RA9,recovery,apo,RA,FALSE
E7,7,0,0,0,7,RA10,recovery,apo,RA,FALSE
E8,10,0,0,0,10,RA11,recovery,apo,RA,FALSE
E9,23,0,0,0,23,RA12,recovery,apo,RA,FALSE
F1,2,0,0,0,2,PA10,plus2ab,apo,PA,FALSE
F2,0,0,0,0,0,PA11,plus2ab,apo,PA,FALSE
F3,0,0,0,0,0,PA12,plus2ab,apo,PA,FALSE
F4,0,0,0,0,0,AA2,plus0ab,apo,AA,FALSE
F5,10,0,0,0,10,AA3,plus0ab,apo,AA,FALSE
F6,0,0,0,0,0,AA9,plus0ab,apo,AA,FALSE
F7,0,0,0,0,0,AA10,plus0ab,apo,AA,FALSE
F8,0,0,0,0,0,AA11,plus0ab,apo,AA,FALSE
F9,0,0,0,0,0,AA12,plus0ab,apo,AA,FALSE
