lane,ASV1,ASV3,ASV7,ASV70,endo_sum,sample,gnoto,symstate,treatment,is.neg
B10,0.227701620081894,0.114651949439202,0.0578600676517714,0,0.400213637172868,CS8,control,sym,CS,FALSE
B11,0.110735267936621,0.0562577888552608,0.0283069254050205,0,0.195299982196902,CS9,control,sym,CS,FALSE
B12,0.00356061954780132,0,0,0,0.00356061954780132,CS10,control,sym,CS,FALSE
B9,0.194587858287342,0.104148121773189,0.0413031867544953,0.00623108420865231,0.346270251023678,CS7,control,sym,CS,FALSE
C1,0.10824283425316,0.0630229659960833,0.0311554210432615,0,0.202421221292505,CS11,control,sym,CS,FALSE
C10,0.421399323482286,0.18906889798825,0.0799359088481396,0,0.690404130318675,PS7,plus2ab,sym,PS,FALSE
C11,0.301228413743991,0.155599074238918,0.0884813957628627,0,0.545308883745772,PS8,plus2ab,sym,PS,FALSE
C12,0.290546555100588,0.148833897098095,0.0726366387751469,0,0.51201709097383,PS9,plus2ab,sym,PS,FALSE
C2,0.220758411963682,0.113761794552252,0.0457539611892469,0,0.380274167705181,CS12,control,sym,CS,FALSE
C3,0.00480683638953178,0,0,0,0.00480683638953178,RS8,recovery,sym,RS,FALSE
C4,0.0117500445077443,0.00373865052519138,0.00605305323126224,0,0.021541748264198,RS9,recovery,sym,RS,FALSE
C5,0.00195834075129072,0,0,0,0.00195834075129072,RS10,recovery,sym,RS,FALSE
C6,0.00284849563824105,0,0,0,0.00284849563824105,RS11,recovery,sym,RS,FALSE
C7,0.0760192273455581,0.0411251557771052,0.0202955314224675,0,0.137439914545131,RS12,recovery,sym,RS,FALSE
C8,0.0072992700729927,0.00302652661563112,0,0,0.0103257966886238,RS13,recovery,sym,RS,FALSE
C9,0.00640911518604237,0.00551896029909204,0,0,0.0119280754851344,RS14,recovery,sym,RS,FALSE
D1,0.230550115720135,0.13494748086167,0.0943564180167349,0,0.45985401459854,PS10,plus2ab,sym,PS,FALSE
D10,0.342353569521097,0.173402171977924,0.083852590350721,0.0119280754851344,0.611536407334876,CA7,control,apo,CA,FALSE
D11,0.0473562399857575,0.0268826775858999,0.0121061064625245,0,0.0863450240341819,CA8,control,apo,CA,FALSE
D12,0.452554744525547,0.240519850453979,0.102545842976678,0,0.795620437956204,CA9,control,apo,CA,FALSE
D2,0.453444899412498,0.235356952109667,0.0988071924514866,0.0181591596937867,0.805768203667438,PS11,plus2ab,sym,PS,FALSE
D3,0.317607263663878,0.165390777995371,0.0909738294463237,0,0.573971871105572,PS12,plus2ab,sym,PS,FALSE
D4,0.374043083496528,0.184084030621328,0.0954246038810753,0.0124621684173046,0.666013886416236,AS8,plus0ab,sym,AS,FALSE
D5,0.435107708741321,0.21701976143849,0.104860245682749,0,0.75698771586256,AS9,plus0ab,sym,AS,FALSE
D6,0.43350542994481,0.231796332561866,0.115720135303543,0.0167349118746662,0.797756809684885,AS10,plus0ab,sym,AS,FALSE
D7,0.366921844400926,0.182481751824818,0.0633790279508634,0,0.612782624176607,AS11,plus0ab,sym,AS,FALSE
D8,0.420687199572726,0.249421399323482,0.106462524479259,0.0142424781912053,0.790813601566673,AS12,plus0ab,sym,AS,FALSE
D9,0.481039700907958,0.285917749688446,0.129784582517358,0.0149546021007655,0.911696635214527,AS13,plus0ab,sym,AS,FALSE
E1,0.00284849563824105,0.00178030977390066,0.0010681858643404,0,0.00569699127648211,CA10,control,apo,CA,FALSE
E10,0.000356061954780132,0,0,0,0.000356061954780132,PA7,plus2ab,apo,PA,FALSE
E11,0.00124621684173046,0,0,0,0.00124621684173046,PA8,plus2ab,apo,PA,FALSE
E2,0.253338080826064,0.122129250489585,0.0612426562221827,0,0.436709987537832,CA11,control,apo,CA,FALSE
E3,0.338258857041125,0.173758233932704,0.0712123909560263,0,0.583229481929856,CA12,control,apo,CA,FALSE
E4,0.000890154886950329,0,0,0,0.000890154886950329,RA7,recovery,apo,RA,FALSE
E5,0,0,0.0010681858643404,0,0.0010681858643404,RA8,recovery,apo,RA,FALSE
E6,0.00178030977390066,0,0,0,0.00178030977390066,RA9,recovery,apo,RA,FALSE
E7,0.00124621684173046,0,0,0,0.00124621684173046,RA10,recovery,apo,RA,FALSE
E8,0.00178030977390066,0,0,0,0.00178030977390066,RA11,recovery,apo,RA,FALSE
E9,0.00409471247997152,0,0,0,0.00409471247997152,RA12,recovery,apo,RA,FALSE
F1,0.000356061954780132,0,0,0,0.000356061954780132,PA10,plus2ab,apo,PA,FALSE
F2,0,0,0,0,0,PA11,plus2ab,apo,PA,FALSE
F3,0,0,0,0,0,PA12,plus2ab,apo,PA,FALSE
F4,0,0,0,0,0,AA2,plus0ab,apo,AA,FALSE
F5,0.00178030977390066,0,0,0,0.00178030977390066,AA3,plus0ab,apo,AA,FALSE
F6,0,0,0,0,0,AA9,plus0ab,apo,AA,FALSE
F7,0,0,0,0,0,AA10,plus0ab,apo,AA,FALSE
F8,0,0,0,0,0,AA11,plus0ab,apo,AA,FALSE
F9,0,0,0,0,0,AA12,plus0ab,apo,AA,FALSE
